"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station"
"place_SANL","","San Leandro","","37.721784","-122.16074","","","1",""
"place_BAYF","","Bay Fair","","37.696908","-122.126446","","","1",""
"place_HAYW","","Hayward","","37.669699","-122.086958","","","1",""
"place_SHAY","","South Hayward","","37.63434","-122.057182","","","1",""
"place_UCTY","","Union City","","37.590735","-122.017248","","","1",""
"place_FRMT","","Fremont","","37.55748","-121.976619","","","1",""
"place_ROCK","","Rockridge","","37.844755","-122.251235","","","1",""
"place_ORIN","","Orinda","","37.878481","-122.183667","","","1",""
"place_LAFY","","Lafayette","","37.893183","-122.12462","","","1",""
"place_WCRK","","Walnut Creek","","37.905791","-122.067327","","","1",""
"place_PHIL","","Pleasant Hill / Contra Costa Centre","","37.928434","-122.055971","","","1",""
"place_CONC","","Concord","","37.973757","-122.029072","","","1",""
"place_NCON","","North Concord / Martinez","","38.003383","-122.024512","","","1",""
"place_PITT","","Pittsburg / Bay Point","","38.01891","-121.944236","","","1",""
"place_PCTR","","Pittsburg Center","","38.016847","-121.889062","","","1",""
"place_ANTC","","Antioch","","37.995373","-121.780346","","","1",""
"place_12TH","","12th Street / Oakland City Center","","37.803482","-122.27163","","","1",""
"place_19TH","","19th Street Oakland","","37.808078","-122.268758","","","1",""
"place_MCAR","","MacArthur","","37.828803","-122.267105","","","1",""
"place_CAST","","Castro Valley","","37.690737","-122.075601","","","1",""
"place_WDUB","","West Dublin / Pleasanton","","37.699721","-121.928277","","","1",""
"place_DUBL","","Dublin / Pleasanton","","37.701646","-121.899229","","","1",""
"place_WOAK","","West Oakland","","37.804888","-122.295151","","","1",""
"place_EMBR","","Embarcadero","","37.792762","-122.397037","","","1",""
"place_MONT","","Montgomery Street","","37.789173","-122.401587","","","1",""
"place_POWL","","Powell Street","","37.784606","-122.407331","","","1",""
"place_CIVC","","Civic Center / UN Plaza","","37.779408","-122.413826","","","1",""
"place_16TH","","16th Street / Mission","","37.765173","-122.419704","","","1",""
"place_24TH","","24th Street / Mission","","37.752419","-122.418468","","","1",""
"place_GLEN","","Glen Park","","37.733235","-122.433515","","","1",""
"place_BALB","","Balboa Park","","37.721747","-122.447457","","","1",""
"place_DALY","","Daly City","","37.706259","-122.468908","","","1",""
"place_ASHB","","Ashby","","37.853072","-122.269771","","","1",""
"place_DBRK","","Downtown Berkeley","","37.87011","-122.268109","","","1",""
"place_NBRK","","North Berkeley","","37.874005","-122.283523","","","1",""
"place_PLZA","","El Cerrito Plaza","","37.90261","-122.29892","","","1",""
"place_DELN","","El Cerrito Del Norte","","37.925184","-122.316892","","","1",""
"place_RICH","","Richmond","","37.936758","-122.353047","","","1",""
"place_WARM","","Warm Springs / South Fremont","","37.502285","-121.939395","","","1",""
"place_COLM","","Colma","","37.684635","-122.466157","","","1",""
"place_SSAN","","South San Francisco","","37.664462","-122.444211","","","1",""
"place_SBRN","","San Bruno","","37.63773","-122.416326","","","1",""
