route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
112,"112","Vincennes/111th",3,http://www.transitchicago.com/bus/112/,565a5c,ffffff
115,"115","Pullman/115th",3,http://www.transitchicago.com/bus/115/,565a5c,ffffff
119,"119","Michigan/119th",3,http://www.transitchicago.com/bus/119/,565a5c,ffffff
120,"120","Ogilvie/Wacker Express",3,http://www.transitchicago.com/bus/120/,b71234,ffffff
121,"121","Union/Wacker Express",3,http://www.transitchicago.com/bus/121/,b71234,ffffff
124,"124","Navy Pier",3,http://www.transitchicago.com/bus/124/,565a5c,ffffff
125,"125","Water Tower Express",3,http://www.transitchicago.com/bus/125/,b71234,ffffff
126,"126","Jackson",3,http://www.transitchicago.com/bus/126/,565a5c,ffffff
130,"130","Museum Campus",3,http://www.transitchicago.com/bus/130/,b71234,ffffff
134,"134","Stockton/LaSalle Express",3,http://www.transitchicago.com/bus/134/,565a5c,ffffff
135,"135","Clarendon/LaSalle Express",3,http://www.transitchicago.com/bus/135/,b71234,ffffff
136,"136","Sheridan/LaSalle Express",3,http://www.transitchicago.com/bus/136/,b71234,ffffff
143,"143","Stockton/Michigan Express",3,http://www.transitchicago.com/bus/143/,b71234,ffffff
146,"146","Inner Drive/Michigan Express",3,http://www.transitchicago.com/bus/146/,b71234,ffffff
147,"147","Outer Drive Express",3,http://www.transitchicago.com/bus/147/,b71234,ffffff
148,"148","Clarendon Michigan Express",3,http://www.transitchicago.com/bus/148/,b71234,ffffff
151,"151","Sheridan",3,http://www.transitchicago.com/bus/151/,b71234,ffffff
152,"152","Addison",3,http://www.transitchicago.com/bus/152/,565a5c,ffffff
155,"155","Devon",3,http://www.transitchicago.com/bus/155/,565a5c,ffffff
156,"156","LaSalle",3,http://www.transitchicago.com/bus/156/,565a5c,ffffff
157,"157","Streeterville/Taylor",3,http://www.transitchicago.com/bus/157/,565a5c,ffffff
165,"165","West 65th",3,http://www.transitchicago.com/bus/165/,565a5c,ffffff
169,"169","69th-UPS Express",3,http://www.transitchicago.com/bus/169/,565a5c,ffffff
171,"171","U. of Chicago/Hyde Park",3,http://www.transitchicago.com/bus/171/,b71234,ffffff
172,"172","U. of Chicago/Kenwood",3,http://www.transitchicago.com/bus/172/,565a5c,ffffff
192,"192","University of Chicago Hosp. Exp.",3,http://www.transitchicago.com/bus/192/,565a5c,ffffff
201,"201","Central/Ridge",3,http://www.transitchicago.com/bus/201/,b71234,ffffff
206,"206","Evanston Circulator",3,http://www.transitchicago.com/bus/206/,565a5c,ffffff
Red,"","Red Line",1,http://www.transitchicago.com/redline/,C60C30,FFFFFF
P,"","Purple Line",1,http://www.transitchicago.com/purpleline/,522398,FFFFFF
Y,"","Yellow Line",1,http://www.transitchicago.com/yellowline/,F9E300,000000
Blue,"","Blue Line",1,http://www.transitchicago.com/blueline/,00A1DE,FFFFFF
Pink,"","Pink Line",1,http://www.transitchicago.com/pinkline/,E27EA6,FFFFFF
G,"","Green Line",1,http://www.transitchicago.com/greenline/,009B3A,FFFFFF
Org,"","Orange Line",1,http://www.transitchicago.com/orangeline/,F9461C,FFFFFF
Brn,"","Brown Line",1,http://www.transitchicago.com/brownline/,62361B,FFFFFF
RPM-2,"Red Line Shuttle","RPM Red Line Shuttle",3,,C60C30,FFFFFF
